step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1014, 37)","(0.3961, 0.0257)",input_menu_code
2,"(2560, 1440)","(117, 170)","(0.0457, 0.1181)",input_start_date
3,"(2560, 1440)","(236, 172)","(0.0922, 0.1194)",input_end_date
4,"(2560, 1440)","(76, 765)","(0.0297, 0.5312)",check_1
5,"(2560, 1440)","(76, 791)","(0.0297, 0.5493)",check_2
6,"(2560, 1440)","(73, 817)","(0.0285, 0.5674)",check_3
7,"(2560, 1440)","(75, 844)","(0.0293, 0.5861)",check_4
8,"(2560, 1440)","(73, 866)","(0.0285, 0.6014)",check_5
9,"(2560, 1440)","(1160, 127)","(0.4531, 0.0882)",button_search
10,"(2560, 1440)","(1147, 558)","(0.448, 0.3875)",button_excel
11,"(2560, 1440)","(1150, 746)","(0.4492, 0.5181)",button_excel_popup
12,"(2560, 1440)","(1237, 95)","(0.4832, 0.066)",button_close
